1055,3071,3143,1029,1029,3340,
3143,1057,3102,3075,3068,3361,
3143,1324,3071,3156,1031,3361,
3143,3211,3047,3071,1055,3361,
3102,3143,3071,1055,1324,3362,
1029,1011,1055,3102,3156,3361,
3111,3102,3068,3022,2043,3361,
3143,2043,0,3068,3047,3361,
3143,3102,3075,3071,1319,3361,
3022,0,1055,3071,3006,3361,
2043,3082,3068,3047,3071,3361,
3143,3071,3111,1055,1031,3341,
3211,3143,3071,3075,1319,3361,
3155,3071,3022,3075,1028,3361,
1028,3078,1011,1001,2003,3340,
1055,3071,1043,3144,3065,3340,
3143,3071,1055,3211,3067,3361,
3143,2003,3047,1055,3211,3340,
3071,3143,3144,1055,3211,3340,
3742,1055,3102,2003,0,3341,
3143,3078,3211,1028,1055,3341,
1031,3143,0,3047,0,3340,
1319,3143,3211,1055,3801,3340,
