3077,3134,2003,1001,0,3340,
3077,3142,3723,1037,1036,3340,
3077,3142,3117,3035,1036,3340,
3077,3142,3723,3117,0,3340,
3074,3142,1329,3035,3044,3340,
3074,3142,1036,3117,3035,3340,
3074,3142,1329,3035,0,3340,
3074,3142,1329,3035,3078,3340,
3077,0,3134,1001,0,3340,
3077,3142,3723,1036,2003,3340,
3142,1329,0,0,3707,3341,
3723,3158,0,0,0,3341,
3074,3142,1334,3723,3035,3341,
3156,3142,3065,3723,3044,3340,
3723,3142,2044,3111,0,3341,
3077,3142,3723,3035,1053,3341,
3077,3142,3117,3035,0,3341,
3074,3142,3035,3723,3078,3341,
3074,3142,3078,3035,3723,3341,
3077,3117,3035,3134,0,3341,
3742,3075,3709,3102,1031,3341,
3142,1329,3071,0,0,3341,
3155,1033,0,3714,1001,3340,
3142,0,3156,3714,3111,3341,
3074,3142,3742,3035,1334,3340,
3142,3143,3742,3714,1319,3341,
3142,3211,0,3714,1319,3341,
3074,3142,1055,3035,1334,3341,
3142,1031,0,3714,1329,3364,
3142,3143,0,3714,3117,3341,
1029,1028,3742,3714,1329,3341,
3748,3142,3742,0,1319,3340,
